医院名称,科室名称,科室所属学科一,科室图片名称,科室图片链接,科室简介
武警后勤学院附属医院 ,肝胆胰脾疾病诊疗中心,消化科,,无," 
肝胆胰脾科（中心）是我院重点发展科室之一，集医疗、教学、科研和预防等工作于一体，以诊治肝脏、胆道、胰腺、脾脏、食管、胃肠、腹膜和中毒等消化系疾病为优势，以微创和介入诊治技术为专长，以肝胆胰脾复杂疾病诊治技术为特色，以国家自然科学基金等科研项目资助为技术后盾。科室先后整合了内科技术、外科技术、介入技术、内镜技术、超声技术和生物技术，为患者提供名副其实的“一站式服务”。目前科室由全国慢性肝病肝纤维化防治合作项目办公室、天津地区脂肪肝防治基地、天津地区2型糖尿病外科诊治中心、胰腺疾病诊治中心、肝胆外科中心、外周（肿瘤）介入治疗中心、ERCP和EUS诊治中心、细胞与基因治疗中试基地、彩超室和实验室等部分组成。
科室所有医护人员均经过正规院校培训，具有扎实的基础理论及临床技能。科室目前拥有教授/主任医师4名，副教授/副主任医师8名，讲师/主治医师6名，助教/医师12名，其中博士7名，硕士10名；拥有一批院内外专家教授进行技术协作和学术交流；同时拥有世界一流的最先进的医疗设备。科室近年来主持三项国家自然科学基金、三项省部级课题和多项院校级课题专门从事肝胆胰脾相关疾病的科学研究，在国内外核心期刊发表相关学术论文100余篇。承担进修生、大学本科生和硕士研究生的培养与教学工作。
科室近年来积极引进新人才、新技术和新设备，不断拓展临床诊疗领域和水平，不断提升人性至上的服务理念，极力为广大患者提供优质和高效的医疗服务。
 "
武警后勤学院附属医院 ,心脏医院,心血管病科,,无,"        武警后勤学院附属医院心脏医院，是我院优秀科室之一。秉承了心内科优良传统，严格管理、作风严谨、技术过硬、医患关系融洽，多次获得优秀集体称号，受到院方嘉奖。心内五科利用多学科协同发展的优势，整合院内外各项资源，开展了冠状动脉造影、冠状动脉介入治疗、起搏器植入手术等心血管疾病。年手术量达千余例，医疗质量达一定水平。

        作为医研三位一体的心内科，一如既往致力于为病人服务，解除病人疾苦；面向临床，并加强培训心脏内科临床医师；把握方向，发展心脏内科基础研究。心内五病区在医院二次创业发展的背景下将获得更大的成绩。"
武警后勤学院附属医院 ,脑科医院,神经内科,,无,"神经危重症医学科位于脑科大楼9楼，是一个集医疗、救援、教学、科研为一体的综合科室。目前，科室拥有国内规模最大、设备最先进的亚低温治疗中心（MHTC）和神经危重症监护病房（N-ICU），对各种颅脑创伤，特别是重型颅脑创伤合并多发伤病人的救治已达到国内领先水平；对重症脑血管疾病、脑感染性疾病、脊髓疾病及脑复苏等中枢神经系统疾病的治疗已达到国内一流水平；对颅脑、脊髓术后并发多器官功能不全、衰竭病人的抢救成功率达95%以上；对其他神经内外科疾病危险期的监护和治疗均与国际标准接轨。

科室建筑面积约1480平方米，设计为空气层流净化恒温病房，展开床位42张，其中亚低温治疗中心11张，危重症监护病房31张。科室配有世界一流的医疗设备，如德国Phillip MP30多功能监护仪、颅内压监护仪、多功能防褥疮气垫床、美国Neurologica CereTom床旁移动CT、美国Cardiodynamics无创心功能监测仪、PHS-25酸度计、Medtronic ACT Plus血栓弹力图、德国Drager Evita2 dura和Evita4呼吸机、美国VELA呼吸机、美国LIFEPAK除颤监护仪、DXZ-2电脑低频诊疗仪、MICP-1A型颅内压无创检测分析仪、Baxter Edwards连续床旁血液净化仪、BNBC2600系列无创脑水肿动态监测仪、脑氧监测仪、脑温监测仪、电动震荡排痰仪、神经功能重建仪、经颅多普勒、脑电和诱发电位监测仪、美国CZS Blankctrol -Ⅱ型体温调节毯、间歇充气加压泵、美国Lp200-P型输液调节泵、注射泵及胃肠营养泵、美国NOVA-biomedical血气分析仪及纤维支气管镜、纤维胃镜等。

我国著名神经外科专家张赛教授带领下的医疗团队，对重型颅脑创伤合并多发伤、脑血管疾病（脑出血、脑梗死、自发性蛛网膜下腔出血）等危重症的监护和救治已具备系统的理论知识和熟练的操作技能；对各种类型脑功能损伤后的亚低温脑保护治疗，心、肺、肾等重要器官功能的维护和复苏（呼吸支持、血液净化、肠内外营养等），急性脑血管病围术期管理（卒中相关性肺炎、脑源性多脏器衰竭等），脑损伤患者的脑灌注压监测、脑代谢（脑温、脑氧）监测和血流动力学监测等方面拥有丰富的临床经验和深入的研究。

神经危重症医学科年收治危重病人1600余人；每年开展血流动力学监护，包括漂浮导管、PICCO和无创心排1500余例；颅内压监测3300余例，其中有创动态监测1100余例，无创连续监测2200余例；亚低温冬眠治疗360余例；救治脑、心、肺、肾等多脏器衰竭（MODS）200余例；床旁血液净化（CRRT和血浆置换）60余例；急性脑血管病血管介入治疗（动脉溶栓、支架植入、动脉瘤栓塞等）300余例；脑干出血外科治疗110余例。

为科学指导临床决策，科室专门建立了系统的脑功能状态评估体系，运用国内先进的移动CT、床旁脑电图监测、诱发电位、神经内分泌、神经功能成像、计算机模拟成像等技术，对患者的脑、脊髓功能和预后进行评估。

为了最大限度发挥部队医院“为人民服务”的正能量，科室还开通了网上会诊服务，为全国神经科疑难病症的诊治提供远程会诊和指导，积极将神经重症监护技术向移动重症监护室（M-ICU）和远程医疗重症监护室（tele-ICU）转化。

神经危重症医学科在现有基础上，将进一步完善颅脑创伤合并多发伤患者数据库，建立意识障碍病人数据库，探讨意识障碍病人治疗与康复的综合方案，收集神经系统感染病人脑脊液变化与细菌学的资料，总结临床特点，为预防和治疗神经系统感染性疾病制定合理方案；积极申请临床试验药理基地，探讨亚低温等综合治疗条件下药物的使用规律。
神经生物细胞学治疗科位于脑科大楼6楼，是目前天津市唯一一家经批准的神经生物细胞研究中心。科室集医疗、科研、康复为一体，围绕神经生物细胞培育与临床转化为重点开展科研和临床工作。作为脑科医院新组建并重点发展的临床科室，神经生物细胞学治疗科有效完善了神经系统疾病的综合治疗手段。

近年来，对于弥漫性轴索损伤、脑损伤、脑出血后遗症、脊髓损伤、脑瘫等医学界难题，由于血脑屏障的存在，单纯通过静脉和口服药物治疗效果甚微。科室采用先进的神经生物细胞治疗技术，将神经生物细胞移植于病变部位的脑组织进行针对性治疗，有效改善了脑卒中、脑外伤、神经系统退行性病变等患者的预后效果。该技术安全、微创，病人治疗过程无痛苦。目前，神经生物细胞学治疗科在神经生物细胞研究及应用方面积累了大量的临床经验，且取得了良好的临床效果。

为保证神经生物细胞的质量和安全应用，科室建立了经国家质量管理部门验收的标准化细胞培育实验室，并配备有德国进口低温离心机、流式细胞仪、荧光显微镜和倒置显微镜、低温冰箱、CO2细胞培养箱等各类医疗科研设备，用于对细胞进行分离、培养、分化、鉴定和质量控制。
神经麻醉手术科主要为脑科医院各临床科室提供手术服务。科室共有9个手术间，分别为百级层流净化常规手术室6间、介入导管室2间和融外科手术与介入治疗为一体的杂交手术室1间。

6个百级层流净化常规手术室均配有philip监护仪、ohmeda麻醉机、德国TRUMPF手术床、手术无影灯、手术吊塔等手术设备。介入导管室配有德国SIEMENS Artis Zee biplane 双C血管机和Artis Zee floor单C血管机。杂交手术室配有SIEMENS Artis Zee go 血管机、先进的手术无影灯、可控手术床及头架系统等设备，为神经外科的高端、精细、微创手术提供了有力保障。

麻醉手术科可开展手术包括:各类颅脑创伤手术及其合并伤的手术；各类脑血管病的外科手术，如脑动脉瘤手术、脑血管畸形手术、脑出血手术、脑缺血血管搭桥手术、颈动脉内膜剥脱手术和脊髓各类血管手术；癫痫开颅致痫灶切除术（术中可进行电生理监测）、胼胝体切开术；帕金森立体定向下核团毁损术、脑深部电极置入术；颅底肿瘤在内的脑、脊髓肿瘤手术；脊髓损伤、脊柱骨折、脊髓脊柱畸形等外科手术；面肌痉挛、三叉神经痛及各类疼痛的显微神经外科、微创手术；神经内镜手术；脑室穿刺置管、颅内压监测手术、蛛网膜下腔出血腰大池置管手术；脑温脑氧脑实质内探头置入手术；神经生物细胞移植治疗手术等。科室每年开展大手术2500-3000例，中小手术8000例。
脑科医院“卒中单元”治疗中心以国内脑血病治疗专家焦德让教授为学科带头人，拥有技术精湛的医护团队和先进的医疗设备。

“卒中单元”是针对脑卒中患者的、具有规范诊疗标准和明确治疗目标的系统工程，是可以延伸到恢复期、后遗症期的一个完善的、科学的治疗管理体系。主要由急诊处理、影像诊断、药物治疗、血管介入治疗及外科手术等多种医疗手段组成，为卒中患者提供肢体康复、语言训练、心理康复、健康教育等一系列系统的治疗，充分体现了“以人为本”的服务理念。

“卒中单元”完整的治疗流程包括三个环节：
1.急性期治疗：最大限度地减少由于处理不当或因合并症所带来的不利后果，挽救脑损害、预防并发症、减少病死率；
2.功能康复：康复科参与治疗，帮助患者的身体功能恢复到最佳状态；
3.二级预防：以预防为主，在保证营养的前提下，针对不同的病因和不同危险因素进行有针对性的治疗，保护机体各项功能相对稳定，并且使其发挥应有的主动性和潜在能力，以达到理想的治疗效果，防止复发。

这三个环节互为因果，缺一不可。卒中单元就是为保证这一治疗流程成功实施的组织保障。因此，卒中单元的工作人员必须具备专业的医疗技术和护理技能。脑科医院“卒中单元”医疗团队已有十余年的脑血管病诊治经验，十年间收治脑血管病患者万例以上，完成脑血管造影5000余例、颅内动脉瘤800余例、支架置入治疗缺血性脑血管病700余例、动脉接触溶栓及取栓200余例，静脉溶栓100余例，对脑动静脉畸形、硬脑膜海绵窦瘘、颈动脉—海绵窦瘘、外伤性脑血管病及脊髓血管畸形等疾病也积累了丰富的临床经验。此外，卒中单元还与中医康复科密切合作，为卒中患者提供全面、科学的康复指导。

"
武警后勤学院附属医院 ,呼吸内科,呼吸科（肺科）,,无,"  武警后勤学院附属医院呼吸与重症医学科，目前为武警部队呼吸和危重病医学中心、武警后勤学院附属医院中毒急救中心、武警后勤学院附属医院重症监护培训基地、“中国毒理学会”会员单位、德国贝朗“连续性血液净化治疗临床操作培训基地”、瑞典金宝“连续性血液净化治疗临床培训基地”。

        目前下辖呼吸一病区、呼吸二病区、中心ICU（中毒急救中心）、肺功能室、睡眠呼吸监护室、呼吸内镜室、呼吸内科门诊、风湿免疫门诊、哮喘门诊及雾化吸入治疗室。医护人员共计130名，其中主任医师3名，副主任医师4名，研究生导师5人，医学博士8名，医学硕士12名及高素质的护理队伍98人。科主任魏路清教授从事呼吸专业30余年，对呼吸系统常见病如慢性阻塞性肺疾病、支气管哮喘、肺炎、肺结核、肺癌等疾病的诊治经验丰富。擅长对疑难、少见病，特别是间质性肺疾病的诊治。

         长期致力于间质性肺疾病的临床及基础研究。承担了辽宁省自然科学基金、天津市自然科学基金、武警总部科研基金等课题5项。近年来以第一作者、通讯作者医学论文50余篇，其中国际SCI论文4篇。获武警部队科技进步奖二等奖1项，武警部队医疗成果三等奖2项，辽宁省及军队科技进步奖、医疗成果奖5项，目前担任中国医师协会呼吸医师分会委员、中华医学会呼吸病学分会肺间质病学组委员、武警部队呼吸内科学专业委员会副主任委员、天津医学会呼吸分会副主任委员及肺间质病学组组长等学术职务，2012年荣获天津市第二届人民满意“好医生” 、全军“育才金奖”等荣誉；科室目前编制床位118张，其中重症监护病床30张（包括层流病房28张，负压隔离病床2张），普通病床88张。配有飞利浦MP50、MP40等多功能监护仪40台、美国美敦力体外膜肺（ECMO）1台，德国Drager Evita4、Evita XL，美国VELA、AVea，MAQUET Servo-i等有创呼吸机17台、美国Vision无创呼吸机3台；德国贝朗、瑞典金宝等床旁血液滤过机8台、冰毯机4台、美国耶格肺功能诊断仪及奥林巴斯、宾德电子气管镜诊治系统2套等国际先进的医疗设备。

        武警后勤学院附属医院呼吸与重症医学科近年来承担国家自然科学基金、天津市自然科学基金、武警部队等各级科研课题14项，参与全国多中心临床研究5项，获得武警部队科技进步奖、医疗成果奖5项，获得国家发明专利5项，在国际、中华系列具有一定影响力的专业杂志发表科研论文100余篇。在国内首次应用枸橼酸钠联合低分子肝素钠进行抗凝，并且首次提出“连续性血浆吸附治疗中毒”的治疗理念；血液净化及体外循环技术达到了国内先进水平，构建了农药中毒、药物中毒、有毒动植物中毒、工业毒物中毒的完整救治体系，特别对各种重度中毒的危重病例治疗、脉波指示剂连续心排血量技术指导救治等方面形成特色，迄今为止，已经成功抢救各种中毒患者2000余例，抢救成功率达90以上%，其中收治百草枯中毒600余例，抢救成功率达57.53%（国内领先）。

        连续举办五届“武警后勤学院附属医院中毒急救论坛”，培养基层医院医疗骨干700多名；在武警部队和天津市率先开展了小切口开胸肺活检对疑难间质性肺病的诊断研究以及气道腔内疾病的介入治疗（激光、冷冻）、气道内异物的取出、气道球囊扩张、气道支架植入的技术；建立了完善的危重病患者呼吸支持治疗救治体系，采用新的呼吸支持模式，新的呼吸支持理念及新的呼吸生理学监护手段，先后开展了呼吸机吸呼切换技术（Shape signal）和相关数学模型对于无创机械通气人机同步性的研究，外源性PEEP (PEEPe)在机械通气COPD患者中的应用，无创机械通气人机对抗识别的方法学研究，有效提高危重症患者的脱机和抢救成功率。开展了危重症病毒性肺炎的临床科研工作，构建了完整的病毒性肺炎的流行病、诊断、治疗和抢救体系，综合血液净化和体外膜肺氧合技术，重症病毒性肺炎抢救水平居武警部队领先地位。"
武警后勤学院附属医院 ,消化内科,消化科,,无," 消化内科为武警后勤学院附属医院的重点科室，武警后勤学院硕士研究生培养点，拥有有过硬的技术团队及国外先进的医疗设备。消化内科由门诊、病房、消化内镜中心、胃肠动力中心、萎缩性胃炎治疗中心等部分组成。二楼门诊设有专家门诊、普通门诊、胃肠动力门诊、便秘门诊、萎缩性胃炎门诊。现展开病床52张。消化科内镜中心使用面积500M2，消化内镜中心拥有最先进的日本Olympus260系列电子结肠镜、电子胃镜、电子十二指肠镜、电子超声内镜、色素內镜、窄带成像技术（NBI）内镜。德国ERBE APC 300高效氩等离子体凝固器、德国ERBE ICC 200高频电发生器、立德微波射频治疗仪，消化内镜中心具有整套philipus先进数字减影设备及新建符合卫生部要求的内镜清洗消毒室，为内镜介入治疗提供技术保障。
开展13C尿素呼气实验检查幽门螺杆菌、肝脏储备功能及胰腺分泌功能测定。拥有胶囊内镜设备、小肠镜填补了小肠疾病诊断的空白。食管24小时测酸、食管测压来检查胃食管返流病及食管疾病。肛门直肠测压及生物反馈治疗设备，使便秘患者得到正规的检查与系统治疗。"
武警后勤学院附属医院 ,肾内科,肾内科,,无,资料暂无
武警后勤学院附属医院 ,感染性疾病科,感染科,,无,资料暂无
武警后勤学院附属医院 ,内分泌科,内分泌科,,无, 武警医学院附属医院内分泌代谢病科是医院重点科室，集医教研为一体，以糖尿病及并发症治疗为特色，开展床位32张，临床医师12人，高级职称医师3名，中级职称医师3名。科室备有血糖检测仪、胰岛素泵、空气波压力治疗仪等仪器设备。对糖尿病及其相关并发症、甲状腺疾病、肾上腺疾病、垂体性疾病、高脂血症、高尿酸血症、肥胖症、低钾血症、高钾血症等疾病的治疗宜有丰富临床经验。每年收治患者万人以上，在广大患者中享有极高评价。
武警后勤学院附属医院 ,中医康复理疗科,理疗科,,无,"中医康复理疗科组建于2005年7月，是兼具中西医康复特色，集医疗、科研、教学于一体，门诊与病房为一体的综合科室。现有博士2名，硕士6名，高级职称4人，医护人员30余人。科室现设有普通中医门诊 、中医脑病（中风偏瘫）专科门诊、中医各科（中医内科、儿科、妇科、眼科、糖尿病、肾病等）专家门诊、中西医结合病房、针灸理疗室、骨伤推拿按摩室、功能康复室。
针对所在医院及科室的特点，在导师石学敏院士的指导下，应用“醒脑开窍”针刺法为主的综合康复体系疗法，治疗脑血管病疗效显著，使中风超早期患者近期临床有效率达98%以上，急性期患者达到93%以上，同时创立了系列中药自拟方剂系列，成为武警部队中西医结合治疗脑病的典范。当一个个瘫痪的躯体在我精心的治疗下恢复活动、康复出院时，我感到作为一名医生无比的欣慰和神圣。"
武警后勤学院附属医院 ,心理咨询科,精神心理科,,无," 
随着社会文化经济的发展，人类疾病谱的改变，人们对心理服务的需求越来越大。综合医院设立心理咨询科是满足广大患者的需要、是医院建设发展的需要、是保障我们医护人员身心健康的需要、是更好地完成医疗救援任务的需要。
2010年7月16日，武警医学院附属医院、武警部队心理学研究所心理咨询门诊正式挂牌工作，它是武警部队在医学院建立的心理卫生服务工作“三位一体”样板工程的临床部分，依托心理学研究所和附院的雄厚实力，竭诚为广大官兵和地方群众提供专业、科学的心理卫生服务。
在服务类型上，咨询者分为两大类。一类是有心理问题的正常人；另一类是有各种心理障碍而需要治疗的心理疾病患者，前者是发展性问题和心理健康问题，以心理咨询为主，解决的是个人生活中的心理问题和非精神病性的焦虑、抑郁等情绪症状；后者是障碍性问题，需要药物治疗为主、心理治疗辅助，重点在于治疗他们的精神疾病，缓解、消除其身心症状。在工作程序上，通过心理诊断，鉴别重型精神病、情感性精神障碍，以及各种类型神经症、发展性问题等之后，选择针对性强的治疗方案，综合运用各流派心理咨询方法进行心理咨询，或者是药物加心理咨询双管齐下，强化疗效。"
